MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010001004024,11,1,100,4,4024,4024,Block 4024,BK,S,,,14225,,U,38.9033495,-77.0596257,38.9033495,-77.0596257
G5040,2.10404E+14,110010001004025,11,1,100,4,4025,4025,Block 4025,BK,S,,,,784,U,38.904139,-77.0597451,38.904139,-77.0597451
G5040,2.10404E+14,110010001004026,11,1,100,4,4026,4026,Block 4026,BK,S,,,,844,U,38.904056,-77.0587201,38.904056,-77.0587201
G5040,2.10404E+14,110010001004027,11,1,100,4,4027,4027,Block 4027,BK,S,,,,2951,U,38.903718,-77.057258,38.903765,-77.056935
G5040,2.10404E+14,110010001004028,11,1,100,4,4028,4028,Block 4028,BK,S,,,,553,U,38.9034117,-77.0569653,38.9034117,-77.0569653
G5040,2.10404E+14,110010001004029,11,1,100,4,4029,4029,Block 4029,BK,S,,,17130,,U,38.9044868,-77.0572742,38.9044868,-77.0572742
G5040,2.10404E+14,110010001004030,11,1,100,4,4030,4030,Block 4030,BK,S,,,1665,,U,38.9051425,-77.0573881,38.9051425,-77.0573881
G5040,2.10404E+14,110010001004031,11,1,100,4,4031,4031,Block 4031,BK,S,,,5251,,U,38.9050133,-77.0564048,38.9050133,-77.0564048
G5040,2.10404E+14,110010001004032,11,1,100,4,4032,4032,Block 4032,BK,S,,,1473,,U,38.9049298,-77.0558271,38.9049298,-77.0558271
G5040,2.10404E+14,110010001004033,11,1,100,4,4033,4033,Block 4033,BK,S,,,1010,,U,38.9043208,-77.0562779,38.9043208,-77.0562779
G5040,2.10404E+14,110010001004034,11,1,100,4,4034,4034,Block 4034,BK,S,,,,446,U,38.9041691,-77.0562851,38.9041691,-77.0562851
G5040,2.10404E+14,110010001004035,11,1,100,4,4035,4035,Block 4035,BK,S,,,,432,U,38.9041561,-77.0562338,38.9041561,-77.0562338
G5040,2.10404E+14,110010001004036,11,1,100,4,4036,4036,Block 4036,BK,S,,,8941,,U,38.9033529,-77.0576626,38.9033529,-77.0576626
G5040,2.10404E+14,110010001004037,11,1,100,4,4037,4037,Block 4037,BK,S,138,95,14041,,U,38.9033183,-77.0585952,38.9033183,-77.0585952
G5040,2.10404E+14,110010001004038,11,1,100,4,4038,4038,Block 4038,BK,S,,,617,,U,38.9025977,-77.0584422,38.9025977,-77.0584422
G5040,2.10404E+14,110010001004039,11,1,100,4,4039,4039,Block 4039,BK,S,,,280,,U,38.9025981,-77.0578954,38.9025981,-77.0578954
G5040,2.10404E+14,110010001004040,11,1,100,4,4040,4040,Block 4040,BK,S,8,7,587,,U,38.9025006,-77.0581167,38.9025006,-77.0581167
G5040,2.10404E+14,110010001004041,11,1,100,4,4041,4041,Block 4041,BK,S,33,34,20373,,U,38.9012418,-77.058474,38.901895,-77.0586793
G5040,2.10404E+14,110010001004042,11,1,100,4,4042,4042,Block 4042,BK,S,,,39961,,U,38.9019201,-77.0605582,38.9019201,-77.0605582
G5040,2.10404E+14,110010001004043,11,1,100,4,4043,4043,Block 4043,BK,S,,,884,,U,38.902562,-77.0618984,38.902562,-77.0618984
G5040,2.10404E+14,110010001004044,11,1,100,4,4044,4044,Block 4044,BK,S,36,33,13092,,U,38.9030075,-77.0619515,38.9030075,-77.0619515
G5040,2.10404E+14,110010001004045,11,1,100,4,4045,4045,Block 4045,BK,S,,,605,,U,38.9025861,-77.0600723,38.9025861,-77.0600723
